winner_fighter,looser_fighter,match_number,method,referee,number_rounds,round_time,weight_class,event_date,event_location,event_name
Alex Morono,Mickey Gall,"


                        8                    ",Decision (Unanimous),Chris Tognoni,3,5:00,Welterweight,2021-12-04T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC on ESPN 31 - Font vs. Aldo
Dusko Todorovic,Maki Pitolo,"


                        7                    ",TKO (Punches),Mark Smith,1,4:34,Middleweight,2021-12-04T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC on ESPN 31 - Font vs. Aldo
Manel Kape,Zhalgas Zhumagulov,"


                        6                    ",TKO (Punches),Keith Peterson,1,4:02,Flyweight,2021-12-04T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC on ESPN 31 - Font vs. Aldo
Bryan Barberena,Darian Weeks,"


                        5                    ",Decision (Unanimous),Herb Dean,3,5:00,Welterweight,2021-12-04T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC on ESPN 31 - Font vs. Aldo
Cheyanne Vlismas,Mallory Martin,"


                        4                    ",Decision (Unanimous),Chris Tognoni,3,5:00,Strawweight,2021-12-04T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC on ESPN 31 - Font vs. Aldo
William Knight,Alonzo Menifield,"


                        3                    ",Decision (Unanimous),Herb Dean,3,5:00,Light Heavyweight,2021-12-04T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC on ESPN 31 - Font vs. Aldo
Claudio Puelles,Chris Gruetzemacher,"


                        2                    ",Submission (Kneebar),Mark Smith,3,3:25,Lightweight,2021-12-04T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC on ESPN 31 - Font vs. Aldo
Vince Morales,Louis Smolka,"


                        1                    ",KO (Punches),Chris Tognoni,1,2:02,Bantamweight,2021-12-04T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC on ESPN 31 - Font vs. Aldo
"
Ketlen Vieira
","
Miesha Tate
",Match 11,Method Decision (Unanimous),Referee Jason Herzog,Round 5,Time 5:00,Bantamweight,2021-11-20T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 198 - Vieira vs. Tate
Sean Brady,Michael Chiesa,"


                        10                    ",Decision (Unanimous),Herb Dean,3,5:00,Welterweight,2021-11-20T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 198 - Vieira vs. Tate
Taila Santos,Joanne Wood,"


                        9                    ",Submission (Rear-Naked Choke),Jason Herzog,1,4:49,Flyweight,2021-11-20T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 198 - Vieira vs. Tate
Rani Yahya,Kyung Ho Kang,"


                        8                    ",Decision (Unanimous),Mark Smith,3,5:00,Bantamweight,2021-11-20T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 198 - Vieira vs. Tate
Adrian Yanez,Davey Grant,"


                        7                    ",Decision (Split),Herb Dean,3,5:00,Bantamweight,2021-11-20T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 198 - Vieira vs. Tate
Pat Sabatini,Tucker Lutz,"


                        6                    ",Decision (Unanimous),Mark Smith,3,5:00,Featherweight,2021-11-20T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 198 - Vieira vs. Tate
Rafa Garcia,Natan Levy,"


                        5                    ",Decision (Unanimous),Jason Herzog,3,5:00,Lightweight,2021-11-20T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 198 - Vieira vs. Tate
Lupita Godinez,Konklak Suphisara,"


                        4                    ",Decision (Unanimous),Herb Dean,3,5:00,Strawweight,2021-11-20T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 198 - Vieira vs. Tate
Cody Durden,Qileng Aori,"


                        3                    ",Decision (Unanimous),Jason Herzog,3,5:00,Flyweight,2021-11-20T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 198 - Vieira vs. Tate
Nuerdanbieke Shayilan,Sean Soriano,"


                        2                    ",Decision (Unanimous),Herb Dean,3,5:00,Featherweight,2021-11-20T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 198 - Vieira vs. Tate
Luana Pinheiro,Sam Hughes,"


                        1                    ",Decision (Unanimous),Mark Smith,3,5:00,Strawweight,2021-11-20T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 198 - Vieira vs. Tate
"
Max Holloway
","
Yair Rodriguez
",Match 11,Method Decision (Unanimous),Referee Marc Goddard,Round 5,Time 5:00,Featherweight,2021-11-13T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 197 - Holloway vs. Rodriguez
Marcos Rogerio de Lima,Ben Rothwell,"


                        10                    ",TKO (Punches),Herb Dean,1,0:32,Heavyweight,2021-11-13T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 197 - Holloway vs. Rodriguez
Felicia Spencer,Leah Letson,"


                        9                    ",TKO (Elbows and Punches),Mark Smith,3,4:25,Featherweight,2021-11-13T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 197 - Holloway vs. Rodriguez
Kalinn Williams,Miguel Baeza,"


                        8                    ",TKO (Punches),Chris Tognoni,3,1:02,Welterweight,2021-11-13T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 197 - Holloway vs. Rodriguez
Yadong Song,Julio Arce,"


                        7                    ",TKO (Head Kick and Punches),Herb Dean,2,1:35,Bantamweight,2021-11-13T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 197 - Holloway vs. Rodriguez
Joel Alvarez,Thiago Moises,"


                        6                    ",TKO (Elbows and Punches),Marc Goddard,1,3:01,158lb Catchweight,2021-11-13T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 197 - Holloway vs. Rodriguez
Andrea Lee,Cynthia Calvillo,"


                        5                    ",TKO (Corner Stoppage),Mark Smith,2,5:00,Flyweight,2021-11-13T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 197 - Holloway vs. Rodriguez
Sean Woodson,Collin Anglin,"


                        4                    ",TKO (Punches to the Body),Herb Dean,1,4:30,Featherweight,2021-11-13T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 197 - Holloway vs. Rodriguez
Cortney Casey,Liana Jojua,"


                        3                    ",Decision (Unanimous),Marc Goddard,3,5:00,129lb Catchweight,2021-11-13T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 197 - Holloway vs. Rodriguez
Rafael Alves,Marc Diakiese,"


                        2                    ",Submission (Guillotine Choke),Mark Smith,1,1:48,Lightweight,2021-11-13T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 197 - Holloway vs. Rodriguez
Da Un Jung,Kennedy Nzechukwu,"


                        1                    ",KO (Elbows),Chris Tognoni,1,3:04,Light Heavyweight,2021-11-13T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 197 - Holloway vs. Rodriguez
"
Kamaru Usman
","
Colby Covington
",Match 14,Method Decision (Unanimous),Referee Dan Miragliotta,Round 5,Time 5:00,Welterweight,2021-11-06T00:00:00-07:00," Madison Square Garden, New York, New York, United States",UFC 268 - Usman vs. Covington 2
Rose Namajunas,Weili Zhang,"


                        13                    ",Decision (Split),Marc Goddard,5,5:00,Strawweight,2021-11-06T00:00:00-07:00," Madison Square Garden, New York, New York, United States",UFC 268 - Usman vs. Covington 2
Marlon Vera,Frankie Edgar,"


                        12                    ",KO (Front Kick),Todd Anderson,3,3:50,Bantamweight,2021-11-06T00:00:00-07:00," Madison Square Garden, New York, New York, United States",UFC 268 - Usman vs. Covington 2
Shane Burgos,Billy Quarantillo,"


                        11                    ",Decision (Unanimous),Keith Peterson,3,5:00,Featherweight,2021-11-06T00:00:00-07:00," Madison Square Garden, New York, New York, United States",UFC 268 - Usman vs. Covington 2
Justin Gaethje,Michael Chandler,"


                        10                    ",Decision (Unanimous),Mike Beltran,3,5:00,Lightweight,2021-11-06T00:00:00-07:00," Madison Square Garden, New York, New York, United States",UFC 268 - Usman vs. Covington 2
Alex Pereira,Andreas Michailidis,"


                        9                    ",TKO (Flying Knee and Punches),Dan Miragliotta,2,0:18,Middleweight,2021-11-06T00:00:00-07:00," Madison Square Garden, New York, New York, United States",UFC 268 - Usman vs. Covington 2
Bobby Green,Al Iaquinta,"


                        8                    ",TKO (Punches),Marc Goddard,1,2:25,Lightweight,2021-11-06T00:00:00-07:00," Madison Square Garden, New York, New York, United States",UFC 268 - Usman vs. Covington 2
Chris Curtis,Phil Hawes,"


                        7                    ",KO (Punches),Todd Anderson,1,4:27,Middleweight,2021-11-06T00:00:00-07:00," Madison Square Garden, New York, New York, United States",UFC 268 - Usman vs. Covington 2
Nassourdine Imavov,Edmen Shahbazyan,"


                        6                    ",TKO (Elbows),Keith Peterson,2,4:42,Middleweight,2021-11-06T00:00:00-07:00," Madison Square Garden, New York, New York, United States",UFC 268 - Usman vs. Covington 2
Ian Garry,Jordan Williams,"


                        5                    ",KO (Punches),Mike Beltran,1,4:59,Welterweight,2021-11-06T00:00:00-07:00," Madison Square Garden, New York, New York, United States",UFC 268 - Usman vs. Covington 2
Chris Barnett,Gian Villante,"


                        4                    ",TKO (Spinning Wheel Kick and Punches),Dan Miragliotta,2,2:23,Heavyweight,2021-11-06T00:00:00-07:00," Madison Square Garden, New York, New York, United States",UFC 268 - Usman vs. Covington 2
Dustin Jacoby,John Allan,"


                        3                    ",Decision (Unanimous),Marc Goddard,3,5:00,Light Heavyweight,2021-11-06T00:00:00-07:00," Madison Square Garden, New York, New York, United States",UFC 268 - Usman vs. Covington 2
Melsik Baghdasaryan,Bruno Souza,"


                        2                    ",Decision (Unanimous),Todd Anderson,3,5:00,149lb Catchweight,2021-11-06T00:00:00-07:00," Madison Square Garden, New York, New York, United States",UFC 268 - Usman vs. Covington 2
Ode Osbourne,C.J. Vergara,"


                        1                    ",Decision (Unanimous),Mike Beltran,3,5:00,128lb Catchweight,2021-11-06T00:00:00-07:00," Madison Square Garden, New York, New York, United States",UFC 268 - Usman vs. Covington 2
"
Glover Teixeira
","
Jan Blachowicz
",Match 14,Method Submission (Rear-Naked Choke),Referee Marc Goddard,Round 2,Time 3:02,Light Heavyweight,2021-10-30T00:00:00-07:00," Etihad Arena, Yas Island, Abu Dhabi, United Arab Emirates",UFC 267 - Blachowicz vs. Teixeira
Petr Yan,Cory Sandhagen,"


                        13                    ",Decision (Unanimous),Jason Herzog,5,5:00,Bantamweight,2021-10-30T00:00:00-07:00," Etihad Arena, Yas Island, Abu Dhabi, United Arab Emirates",UFC 267 - Blachowicz vs. Teixeira
Islam Makhachev,Dan Hooker,"


                        12                    ",Submission (Kimura),Daniel Movahedi,1,2:25,Lightweight,2021-10-30T00:00:00-07:00," Etihad Arena, Yas Island, Abu Dhabi, United Arab Emirates",UFC 267 - Blachowicz vs. Teixeira
Alexander Volkov,Marcin Tybura,"


                        11                    ",Decision (Unanimous),Marc Goddard,3,5:00,Heavyweight,2021-10-30T00:00:00-07:00," Etihad Arena, Yas Island, Abu Dhabi, United Arab Emirates",UFC 267 - Blachowicz vs. Teixeira
Khamzat Chimaev,Jingliang Li,"


                        10                    ",Technical Submission (Rear-Naked Choke),Jason Herzog,1,3:16,Welterweight,2021-10-30T00:00:00-07:00," Etihad Arena, Yas Island, Abu Dhabi, United Arab Emirates",UFC 267 - Blachowicz vs. Teixeira
Magomed Ankalaev,Volkan Oezdemir,"


                        9                    ",Decision (Unanimous),Marc Goddard,3,5:00,Light Heavyweight,2021-10-30T00:00:00-07:00," Etihad Arena, Yas Island, Abu Dhabi, United Arab Emirates",UFC 267 - Blachowicz vs. Teixeira
Amanda Ribas,Virna Jandiroba,"


                        8                    ",Decision (Unanimous),Daniel Movahedi,3,5:00,Strawweight,2021-10-30T00:00:00-07:00," Etihad Arena, Yas Island, Abu Dhabi, United Arab Emirates",UFC 267 - Blachowicz vs. Teixeira
Zubaira Tukhugov,Ricardo Ramos,"


                        7                    ",Decision (Unanimous),Marc Goddard,3,5:00,Featherweight,2021-10-30T00:00:00-07:00," Etihad Arena, Yas Island, Abu Dhabi, United Arab Emirates",UFC 267 - Blachowicz vs. Teixeira
Albert Duraev,Roman Kopylov,"


                        6                    ",Decision (Unanimous),Jason Herzog,3,5:00,Middleweight,2021-10-30T00:00:00-07:00," Etihad Arena, Yas Island, Abu Dhabi, United Arab Emirates",UFC 267 - Blachowicz vs. Teixeira
Elizeu Zaleski dos Santos,Benoit St. Denis,"


                        5                    ",Decision (Unanimous),Vyacheslav Kiselev,3,5:00,Welterweight,2021-10-30T00:00:00-07:00," Etihad Arena, Yas Island, Abu Dhabi, United Arab Emirates",UFC 267 - Blachowicz vs. Teixeira
Michal Oleksiejczuk,Shamil Gamzatov,"


                        4                    ",TKO (Punches),Daniel Movahedi,1,3:31,Light Heavyweight,2021-10-30T00:00:00-07:00," Etihad Arena, Yas Island, Abu Dhabi, United Arab Emirates",UFC 267 - Blachowicz vs. Teixeira
Lerone Murphy,Makwan Amirkhani,"


                        3                    ",KO (Knee),Marc Goddard,2,0:14,Featherweight,2021-10-30T00:00:00-07:00," Etihad Arena, Yas Island, Abu Dhabi, United Arab Emirates",UFC 267 - Blachowicz vs. Teixeira
Andre Petroski,Yaozong Hu,"


                        2                    ",Submission (Arm-Triangle Choke),Jason Herzog,3,4:46,Middleweight,2021-10-30T00:00:00-07:00," Etihad Arena, Yas Island, Abu Dhabi, United Arab Emirates",UFC 267 - Blachowicz vs. Teixeira
Tagir Ulanbekov,Allan Nascimento,"


                        1                    ",Decision (Split),Daniel Movahedi,3,5:00,Flyweight,2021-10-30T00:00:00-07:00," Etihad Arena, Yas Island, Abu Dhabi, United Arab Emirates",UFC 267 - Blachowicz vs. Teixeira
"
Marvin Vettori
","
Paulo Costa
",Match 14,Method Decision (Unanimous),Referee Jason Herzog,Round 5,Time 5:00,Light Heavyweight,2021-10-23T00:00:00-07:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 196 - Costa vs. Vettori
Grant Dawson,Ricky Glenn,"


                        13                    ",Draw (Majority),Mike Beltran,3,5:00,Lightweight,2021-10-23T00:00:00-07:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 196 - Costa vs. Vettori
Jessica-Rose Clark,Joselyne Edwards,"


                        12                    ",Decision (Unanimous),Keith Peterson,3,5:00,Bantamweight,2021-10-23T00:00:00-07:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 196 - Costa vs. Vettori
Alex Caceres,Seung Woo Choi,"


                        11                    ",Submission (Rear-Naked Choke),Jason Herzog,2,3:31,Featherweight,2021-10-23T00:00:00-07:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 196 - Costa vs. Vettori
Francisco Trinaldo,Dwight Grant,"


                        10                    ",Decision (Split),Chris Tognoni,3,5:00,Welterweight,2021-10-23T00:00:00-07:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 196 - Costa vs. Vettori
Nicolae Negumereanu,Isaac Villanueva,"


                        9                    ",TKO (Punches),Mike Beltran,1,1:18,Light Heavyweight,2021-10-23T00:00:00-07:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 196 - Costa vs. Vettori
Gregory Rodrigues,Jun Yong Park,"


                        8                    ",KO (Punches),Keith Peterson,2,3:13,Middleweight,2021-10-23T00:00:00-07:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 196 - Costa vs. Vettori
Mason Jones,David Onama,"


                        7                    ",Decision (Unanimous),Jason Herzog,3,5:00,Lightweight,2021-10-23T00:00:00-07:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 196 - Costa vs. Vettori
Tabatha Ricci,Maria Oliveira,"


                        6                    ",Decision (Unanimous),Keith Peterson,3,5:00,Strawweight,2021-10-23T00:00:00-07:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 196 - Costa vs. Vettori
